;ImageJ_measurement_cm;Rounded_Length;DFT;Rounded_DFT
TDM001;0.93;1;1;1
TDM002;0.95;1;2;2
TDM003;1;1;3;3
TDM004;0.98;1;4;4
TDM005;0.88;1;5;5
TDM006;1;1;6;6
TDM007;0.9;1;7;7
TDM008;0.93;1;8;8
TDM009;0.83;0.75;8.75;9
TDM010;0.77;0.75;9.5;10
TDM011;0.88;1;10.5;11
TDM012;0.99;1;11.5;12
TDM013;1.05;1;12.5;13
TDM014;0.99;1;13.5;14
TDM015;0.62;0.5;14;14
TDM016;0.94;1;15;15
TDM017;1.04;1;16;16
TDM018;1.03;1;17;17
TDM019;0.95;1;18;18
TDM020;1;1;19;19
TDM021;1.01;1;20;20
TDM022;1.25;1.25;21.25;22
TDM023;0.82;0.75;22;22
TDM024;0.96;1;23;23
TDM025;1.04;1;24;24
TDM026;0.94;1;25;25
TDM027;0.95;1;26;26
TDM028;1.02;1;27;27
TDM029;1.07;1;28;28
TDM030;0.97;1;29;29
TDM031;1.17;1.25;30.25;31
TDM032;0.88;1;31.25;32
TDM033;1.05;1;32.25;33
TDM034;1.04;1;33.25;34
TDM035;0.98;1;34.25;35
TDM036;0.98;1;35.25;36
TDM037;1.02;1;36.25;37
TDM038;1.09;1;37.25;38
TDM039;0.97;1;38.25;39
TDM040;1.06;1;39.25;40
TDM041;1.02;1;40.25;41
TDM042;1.08;1;41.25;42
TDM043;0.98;1;42.25;43
TDM044;1.01;1;43.25;44
TDM045;1.01;1;44.25;45
TDM046;1.12;1;45.25;46
TDM047;1;1;46.25;47
TDM048;1;1;47.25;48
TDM049;1.07;1;48.25;49
TDM050;1.09;1;49.25;50
TDM051;0.93;1;50.25;51
TDM052;1.03;1;51.25;52
TDM053;1.05;1;52.25;53
TDM054;0.93;1;53.25;54
TDM055;1.03;1;54.25;55
TDM056;1.06;1;55.25;56
TDM057;1;1;56.25;57
TDM058;0.95;1;57.25;58
TDM059;1.11;1;58.25;59
TDM060;1.22;1.25;59.5;60
TDM061;0.98;1;60.5;61
