#Notes:;;;;
#Stalage + and Stalage - are upper and lower 95% CI;;;;
#Age in yrs BP = years before 1950 CE;;;;
Depth from top of stal (mm);Depth (cm);Age (yrs BP);Stalage +;Stalage -
0,25;0,025;80;89;71
0,75;0,075;108;117;100
1,25;0,125;136;145;128
1,75;0,175;165;173;156
2,25;0,225;193;201;184
2,75;0,275;221;229;212
3,25;0,325;249;257;240
3,75;0,375;277;286;268
4,25;0,425;305;316;296
4,75;0,475;333;347;323
5,25;0,525;361;382;351
5,75;0,575;389;421;378
6,25;0,625;417;465;406
6,75;0,675;446;514;434
7,25;0,725;474;565;461
7,75;0,775;502;613;489
8,25;0,825;530;654;517
8,75;0,875;559;689;544
9,25;0,925;587;718;571
9,75;0,975;615;745;598
10,25;1,025;644;771;626
10,75;1,075;672;796;653
11,25;1,125;701;823;680
11,75;1,175;729;850;708
12,25;1,225;758;878;735
12,75;1,275;787;906;763
13,25;1,325;816;934;791
13,75;1,375;845;961;818
14,25;1,425;874;987;846
14,75;1,475;903;1011;874
15,25;1,525;932;1035;901
15,75;1,575;961;1058;929
16,25;1,625;990;1082;956
16,75;1,675;1020;1107;984
17,25;1,725;1049;1132;1011
17,75;1,775;1077;1158;1038
18,25;1,825;1105;1183;1065
18,75;1,875;1132;1208;1093
19,25;1,925;1159;1233;1120
19,75;1,975;1186;1257;1147
20,25;2,025;1214;1281;1174
20,75;2,075;1241;1305;1201
21,25;2,125;1268;1329;1228
21,75;2,175;1296;1353;1254
22,25;2,225;1323;1377;1281
22,75;2,275;1350;1401;1307
23,25;2,325;1376;1426;1333
23,75;2,375;1403;1451;1359
24,25;2,425;1429;1476;1385
24,75;2,475;1456;1502;1411
25,25;2,525;1483;1528;1437
25,75;2,575;1509;1555;1462
26,25;2,625;1536;1582;1488
26,75;2,675;1562;1609;1513
27,25;2,725;1588;1637;1538
27,75;2,775;1614;1665;1562
28,25;2,825;1640;1693;1587
28,75;2,875;1665;1722;1612
29,25;2,925;1691;1750;1636
29,75;2,975;1716;1779;1661
30,25;3,025;1742;1808;1686
30,75;3,075;1768;1837;1710
31,25;3,125;1793;1866;1735
31,75;3,175;1819;1895;1759
32,25;3,225;1844;1923;1784
32,75;3,275;1868;1952;1808
33,25;3,325;1893;1981;1833
33,75;3,375;1917;2009;1858
34,25;3,425;1941;2038;1882
34,75;3,475;1964;2067;1907
35,25;3,525;1988;2095;1931
35,75;3,575;2011;2124;1955
36,25;3,625;2034;2152;1980
36,75;3,675;2057;2181;2004
37,25;3,725;2079;2209;2028
37,75;3,775;2101;2237;2053
38,25;3,825;2123;2266;2077
38,75;3,875;2146;2295;2101
39,25;3,925;2168;2324;2125
39,75;3,975;2191;2350;2149
40,25;4,025;2214;2373;2173
40,75;4,075;2237;2393;2197
41,25;4,125;2260;2414;2221
41,75;4,175;2283;2436;2245
42,25;4,225;2307;2463;2270
42,75;4,275;2330;2493;2294
43,25;4,325;2354;2519;2318
43,75;4,375;2378;2529;2342
44,25;4,425;2402;2531;2366
44,75;4,475;2426;2531;2391
45,25;4,525;2450;2531;2415
45,75;4,575;2474;2531;2439
46,25;4,625;2498;2533;2464
46,75;4,675;2523;2541;2488
47,25;4,725;2547;2564;2513
47,75;4,775;2571;2598;2537
48,25;4,825;2596;2635;2562
48,75;4,875;2620;2673;2586
49,25;4,925;2645;2711;2611
49,75;4,975;2670;2747;2635
50,25;5,025;2695;2781;2659
50,75;5,075;2720;2812;2684
51,25;5,125;2745;2840;2708
51,75;5,175;2770;2865;2733
52,25;5,225;2796;2889;2758
52,75;5,275;2821;2912;2782
53,25;5,325;2846;2934;2807
53,75;5,375;2872;2955;2831
54,25;5,425;2898;2977;2856
54,75;5,475;2924;3000;2880
55,25;5,525;2951;3023;2904
55,75;5,575;2977;3046;2929
56,25;5,625;3003;3068;2953
56,75;5,675;3027;3091;2977
57,25;5,725;3052;3113;3002
57,75;5,775;3076;3135;3026
58,25;5,825;3100;3157;3050
58,75;5,875;3123;3179;3075
59,25;5,925;3147;3201;3099
59,75;5,975;3170;3222;3124
60,25;6,025;3193;3243;3148
60,75;6,075;3216;3264;3172
61,25;6,125;3239;3286;3197
61,75;6,175;3262;3307;3221
62,25;6,225;3284;3328;3244
62,75;6,275;3307;3350;3267
63,25;6,325;3330;3372;3291
63,75;6,375;3352;3394;3314
64,25;6,425;3375;3416;3337
64,75;6,475;3398;3438;3360
65,25;6,525;3420;3460;3383
65,75;6,575;3443;3482;3406
66,25;6,625;3465;3505;3429
66,75;6,675;3488;3528;3451
67,25;6,725;3510;3552;3474
67,75;6,775;3533;3577;3496
68,25;6,825;3555;3601;3518
68,75;6,875;3577;3627;3539
69,25;6,925;3599;3652;3561
69,75;6,975;3621;3678;3583
70,25;7,025;3643;3703;3607
70,75;7,075;3665;3728;3631
71,25;7,125;3687;3753;3654
71,75;7,175;3709;3779;3674
72,25;7,225;3731;3805;3689
72,75;7,275;3753;3831;3701
73,25;7,325;3775;3857;3711
73,75;7,375;3796;3883;3721
74,25;7,425;3817;3906;3734
74,75;7,475;3839;3929;3751
75,25;7,525;3860;3950;3771
75,75;7,575;3882;3971;3791
76,25;7,625;3903;3993;3812
76,75;7,675;3924;4015;3832
77,25;7,725;3945;4036;3852
77,75;7,775;3967;4058;3872
78,25;7,825;3988;4079;3893
78,75;7,875;4009;4099;3914
79,25;7,925;4031;4119;3935
79,75;7,975;4052;4139;3957
80,25;8,025;4074;4158;3979
80,75;8,075;4096;4178;4001
81,25;8,125;4117;4198;4024
81,75;8,175;4139;4219;4047
82,25;8,225;4161;4239;4070
82,75;8,275;4183;4259;4094
83,25;8,325;4204;4279;4117
83,75;8,375;4226;4299;4141
84,25;8,425;4247;4319;4164
84,75;8,475;4269;4339;4188
85,25;8,525;4291;4359;4211
85,75;8,575;4312;4379;4234
86,25;8,625;4334;4399;4258
86,75;8,675;4356;4419;4281
87,25;8,725;4377;4440;4305
87,75;8,775;4399;4459;4328
88,25;8,825;4421;4479;4351
88,75;8,875;4442;4499;4375
89,25;8,925;4464;4519;4398
89,75;8,975;4486;4540;4421
90,25;9,025;4507;4560;4444
90,75;9,075;4529;4581;4467
91,25;9,125;4550;4603;4489
