nb_contig_min_0_bp nb_contigs_min_1000_bp nb_contigs_min_5000_bp nb_contigs_min_10000_bp nb_contigs_min_25000_bp nb_contigs_min_50000_bp Total_length_gt_0_bp Total_length_gt_1000_bp Total_length_gt_5000_bp Total_length_gt_10000_bp Total_length_gt_25000_bp Total_length_gt_50000_bp nb_contigs Largest_contig Total_length GC_perc N50 N75 L50 L75 nb_Ns_per_100_kbp
500 1 0 0 0 0 126525 1580 0 0 0 0 11 1580 7926 53.47 714 525 4 8 0
658 1 0 0 0 0 170283 1721 0 0 0 0 13 1721 10081 55.87 820 612 5 9 0
13181 206 11 5 0 0 5019349 430617 111964 63783 0 0 1697 15603 1374220 54.9 714 580 520 1059 0
7063 104 10 1 0 0 2530167 229405 68901 11263 0 0 596 11263 540186 49.56 854 592 149 347 0
4341 121 10 3 0 0 1747513 298565 91966 40021 0 0 557 15600 583130 44.82 1066 655 115 298 0
6574 103 7 1 0 0 2341815 211712 52371 12257 0 0 537 12257 489057 49.31 877 605 139 313 0
6078 148 8 4 0 0 2769890 312157 83476 50646 0 0 1217 15615 984787 54.62 723 574 367 755 0
10032 138 12 5 0 0 3682717 334202 110823 62612 0 0 993 18153 870797 54.72 767 586 256 588 0
3975 225 9 3 0 0 2028478 448563 79309 37502 0 0 965 15592 929474 55.14 956 631 242 550 0
101740 25203 2535 653 63 6 106107916 67138443 23358960 10628344 2382307 516332 56945 191337 88963704 60.53 2149 1013 9307 24790 0
80131 18675 2248 617 80 9 84817480 54437433 21732526 10569443 2922188 553856 42060 78641 70424682 60 2541 1079 6106 17117 0
65595 19664 2300 711 96 11 81330653 57592142 23221815 12280131 3408303 701315 39515 85106 71384204 61.29 2697 1207 5784 15971 0
53669 15262 1249 273 21 1 57818381 37975106 10690312 4206329 715444 60971 31795 60971 49495179 60.22 2074 1051 5902 14429 0
45573 15918 1345 263 24 0 56296858 40586163 11284335 4070637 764199 0 29581 46560 50185141 62.1 2305 1197 5611 13222 0
31067 8844 1195 401 55 4 39358294 28212976 12555276 7200910 1997893 245712 17580 71803 34269209 62.5 3145 1316 2364 6652 0
26105 9192 1564 523 51 5 40088542 31240265 15602786 8438425 1725528 264396 16722 60195 36525884 63.47 3895 1520 2171 6061 0
32102 8717 1041 257 26 2 36833252 24975978 9509219 4230465 927371 165853 18316 104897 31594826 62.83 2584 1147 2834 7521 0
69972 16524 1419 429 47 5 69340663 41694597 13936769 7201163 1657679 308556 39781 79957 57806605 63.19 1824 930 6821 18248 0
48712 11294 1333 405 46 8 51012858 32561611 13145439 6867785 1707181 495063 25317 80880 42186508 61.9 2419 1074 3681 10406 0
17425 4683 587 166 21 1 20165542 14030999 5593428 2706930 720647 63054 9054 63054 17035106 57.65 2908 1311 1359 3587 0
54751 11940 1029 225 25 3 51594039 29998646 9140797 3714336 923386 187685 29164 67928 41859757 63.85 1871 917 5129 13402 0
57608 14858 1166 261 23 4 58499409 36823959 10184403 4158789 871717 240995 32377 69069 48944829 65.5 2009 1005 5948 14743 0
42869 8707 617 158 20 1 37718055 20955072 5774092 2659283 752638 181130 21324 181130 29593655 64.24 1749 897 3981 10018 0
48549 12436 1044 230 19 1 49864394 31358692 9051875 3572901 668145 57303 27570 57303 41854953 60.44 2042 997 4953 12469 0
55289 12060 613 124 12 0 48044553 25868847 5114837 1877604 382103 0 30497 41809 38599403 61.71 1468 841 6592 15426 0
49128 10476 755 199 39 16 45547982 26504219 7788516 4105320 1891626 1107803 24998 103545 36452204 62.67 1910 937 4376 11339 0
50802 11855 1434 487 113 27 56820283 37661073 16956767 10450482 5014467 2025640 26376 123023 47603450 57.51 2850 1161 3284 10037 0
34657 6818 1153 444 53 6 37017429 23417240 12512016 7589860 1836963 349968 17121 61570 30406563 58.45 3344 1068 1816 6225 0
60583 12989 1620 570 62 2 61538095 38137225 16659554 9347482 2042192 132151 30657 67844 50270416 59.73 2398 1027 4151 12560 0
28772 6193 745 170 11 0 28061196 17187120 6300613 2434000 357101 0 14029 39309 22503824 59.64 2397 1045 2218 5891 0
46898 8196 676 115 4 1 38223542 19512222 5372470 1594577 138264 50557 21856 50557 28800842 61.93 1638 838 4135 10487 0
51687 8414 342 28 0 0 38034926 17128729 2339954 335399 0 0 23722 17368 27499966 62.07 1333 767 5474 12433 0
24599 5820 369 62 6 1 22934633 13557698 2990384 944591 241746 55893 13160 55893 18622371 63.41 1813 946 2626 6242 0
24853 3469 498 132 13 2 20460615 10723797 4639899 2154612 451897 103960 9516 53530 14735055 62.31 2515 924 1276 3811 0
48475 7769 247 43 8 2 34648094 14699741 2110906 803228 294625 116162 22798 62631 24971711 65.67 1194 748 5738 12463 0
35208 6372 489 53 3 2 28792812 14920783 3654069 781841 168605 142555 16284 89024 21698728 60.98 1670 860 3165 7832 0
49519 8558 528 86 4 1 39109896 18813302 4108212 1247607 146859 52589 24247 52589 29556162 65.03 1381 793 5091 12344 0
41507 8169 831 186 15 0 37676907 21289423 7271403 2883258 500117 0 20606 48244 29766404 61.09 1915 908 3428 9259 0
66849 12424 834 200 6 0 55324350 27981500 7287309 2956769 225905 0 34188 47824 42913182 62.13 1437 813 6920 17102 0
33565 9462 1510 579 73 4 44804402 32640380 16457433 9961079 2449936 213741 19225 58196 39411827 61.29 3605 1381 2279 6840 0
41468 7860 1256 535 88 10 43714244 27718827 15098902 10023600 3284274 739486 19016 114329 35293791 63.7 3418 1137 1877 6687 0
53078 8981 408 91 4 0 40170286 17924723 3487701 1314114 141541 0 26789 42037 30189276 60.23 1206 759 6398 14423 0
51742 8787 255 50 8 1 38335963 16883222 2172586 857893 291130 53994 25677 53994 28448376 63.07 1202 751 6355 13956 0
26154 5160 540 164 25 1 24614868 14306261 5375124 2840389 853242 69233 12878 69233 19590363 60.66 2131 943 1938 5558 0
39339 6127 571 295 66 13 34180250 17641249 8261484 6338276 2696122 880994 19191 114329 26525358 60.21 1615 816 2615 8631 0
38298 7811 414 75 5 0 32313978 16785127 3426160 1178487 173541 0 20459 43496 25519613 62.27 1437 825 4427 10408 0
23459 3938 159 26 3 1 17563256 7952392 1305103 455009 140068 60571 11346 60571 12996466 58.13 1262 765 2633 6009 0
22696 4547 292 33 2 0 19211484 10062589 2172672 481958 74404 0 11882 39744 15102773 58.51 1519 830 2480 5937 0
19331 3664 485 125 14 0 18227614 10718742 4433468 2020313 437191 0 8997 38345 14345155 58.71 2402 991 1300 3705 0
24153 5493 337 43 2 0 20639069 12307134 2513970 598312 57145 0 11310 30279 16396878 59.11 1806 1001 2400 5484 0
2284 20 0 0 0 0 751355 27103 0 0 0 0 136 1968 99391 61.49 677 557 49 90 0
5098 130 0 0 0 0 2068432 175733 0 0 0 0 975 4670 727905 57.17 721 591 358 639 0
31352 5249 209 34 5 0 22218832 10774244 1685575 527932 162250 0 12978 39904 16117029 60.21 1437 838 2976 6688 0
31210 6239 225 27 0 0 25004762 12260991 1593882 341709 0 0 16704 24130 19488682 60.52 1306 794 4019 8891 0
21550 3170 278 107 14 1 16183122 8341093 3105985 1916238 488243 54307 8220 54307 11801623 62.2 1792 891 1301 3711 0
25638 5425 418 116 12 0 22629738 13232010 3938578 1890011 377884 0 12451 48507 18148936 59.85 1824 951 2275 5815 0
24576 4477 495 169 24 2 22699330 12821582 5427434 3205155 1032227 340126 11992 285743 17929054 60.75 2025 906 1671 5135 0
21172 5334 531 155 23 1 22219583 14358943 5173592 2635720 775274 50496 11338 50496 18518642 60.87 2242 1078 1820 4882 0
28389 3165 43 6 0 0 17401075 5332928 320906 84664 0 0 11757 19095 11154548 62.95 966 673 3414 6917 0
29185 4603 110 11 0 0 20602005 8119507 784752 141055 0 0 14767 23927 15099456 60.27 1066 717 4051 8425 0
24806 5574 462 92 5 1 23206127 13646467 3837158 1326980 194140 53089 12901 53089 18698183 61.01 1884 948 2375 5962 0
22650 6268 442 49 3 0 23207945 14788656 3250783 714281 96053 0 13203 35129 19601005 61.27 1980 1012 2687 6181 0
19903 3500 115 9 2 1 14792300 6843620 850860 176333 93510 64176 9321 64176 10836820 59.24 1317 789 2250 4949 0
27574 4754 798 303 53 10 27819860 17030838 9347350 5861898 2179262 684628 12253 133388 22085076 61.91 3415 1075 1211 4305 0
19352 3579 808 320 44 5 22299424 15058179 9255462 5848618 1762791 472721 8192 148757 18143387 63.09 5232 1550 772 2400 0
31612 5795 1088 482 77 5 34652152 22159426 13148111 8862326 2755784 317015 14965 79485 28384846 62.06 4054 1130 1321 4974 0
21098 4415 336 103 23 4 19585455 11339342 3701708 2121564 944438 264698 10781 86902 15711053 62.43 1851 927 1800 4878 0
12533 4758 711 216 38 6 20168402 16151043 7610497 4187422 1526314 485965 8100 124403 18508474 64.54 3759 1635 1092 2989 0
32445 5193 444 116 10 0 25807370 12467167 4000344 1769720 311930 0 15204 40353 19267175 62.77 1460 796 2821 7423 0
