"genus","obs_diff","pval","qval"
"unclassified",-1.55236296863653,9.99990000099999e-06,0.000288038356729835
"Burkholderia",-7.01139208502612,9.99990000099999e-06,0.000288038356729835
"Carltongylesvirus",-10.3534468584653,6.99993000069999e-05,0.0013969860301397
"Culex",-11.9823102253825,8.99991000089999e-05,0.00172231154400785
"Elysia",-8.11266106159635,0.001579984200158,0.0207252387570021
"Escherichia",-10.2648169850971,0.000649993500064999,0.00955832546937689
"Faunusvirus",-13.7591908351578,9.99990000099999e-06,0.000288038356729835
"Fusarium",-5.25794233736749,0.00568994310056899,0.059319779936529
"Helianthus",-7.25604555852579,0.00259997400026,0.03014243716484
"Herbiconiux",-3.7359403465797,0.175278247217528,0.351531391429271
"Loessnervirus",-15.7996573348104,9.99990000099999e-06,0.000288038356729835
"Myducvirus",-5.88834648964235,0.001569984300157,0.0206912081822578
"Paraburkholderia",-6.51471013450463,0.00109998900011,0.015290394359738
"Sabourvirus",-13.8871083106956,9.99990000099999e-06,0.000288038356729835
"Staphylococcus",-10.7659555587161,0.000129998700013,0.00229883777111596
"Suwonvirus",-14.7433425972164,9.99990000099999e-06,0.000288038356729835
"Tanacetum",-0.175046094072506,0.79360206397936,0.915871196513149
"Thauera",1.89608495542022,0.428915710842892,0.62318798548884
"Trinickia",-13.1491378367715,1.9999800002e-05,0.000512655423904477
"Xanthomonas",4.63640238187751,0.027069729302707,0.193930317107085
"Absicoccus",-8.68552546995099,0.000129998700013,0.00229883777111596
"Alcaligenes",-2.13322127911185,0.334476655233448,0.525606172509703
"Chitinasiproducens",-3.18370162719897,0.0530294697053029,0.273505763344922
"Curvibacter",-2.04489420560124,0.49929500704993,0.682500122161205
"Klebsiella",-10.2669682880896,0.000369996300037,0.00574316479057432
"Puccinia",-4.20685697634374,0.026289737102629,0.192286715876297
"Salmonella",-8.50701131043315,0.003779962200378,0.0414165270112005
"Serratia",-11.38810949483,0.000129998700013,0.00229883777111596
"Steinernema",-4.6836593029825,0.141918580814192,0.300850162970297
"Streptomyces",3.76991654028487,0.015349846501535,0.125401962354645
"Achromobacter",5.96598159213054,0.00607993920060799,0.0626839488062684
"Acidovorax",-9.59071054195346,0.001069989300107,0.0149477505224948
"Acinetobacter",-3.58955739290412,0.167278327216728,0.341898790229362
"Aeromonas",5.10659594594015,0.0781992180078199,0.273505763344922
"Agitococcus",-14.881688341844,4.99995000049999e-05,0.00104252688816395
"Alistipes",-3.99207629116507,0.046359536404636,0.260097479346492
"Apophysomyces",-7.07253693839061,0.00682993170068299,0.0696453619405412
"Aquabacterium",-1.44001619286812,0.534864651353486,0.712982746126737
"Ascochyta",-3.40356441906682,9.99990000099999e-06,0.000288038356729835
"Aspergillus",-1.16447456927977,0.523714762852372,0.702139658065991
"Atta",-3.34953091517316,0.012149878501215,0.107087572657396
"Bacillus",-2.36059573761132,0.452465475345247,0.643708970242273
"Bacteroides",-8.42016036978063,0.002159978400216,0.0260128433198427
"Barbavirus",-16.5832354439325,9.99990000099999e-06,0.000288038356729835
"Bdellovibrio",-6.29777792640195,0.026749732502675,0.192625651063077
"Beauveria",-2.07665456364821,0.151418485815142,0.316427262054979
"Bifidobacterium",-6.80425122334665,0.022979770202298,0.17934491046151
"Bordetella",-2.97429667420251,0.284627153728463,0.459415521384936
