sample,taxon,genome
TDM033,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM033_nitrospira.fa
TDM042,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM042_nitrospira.fa
EXB080,A0901_nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/EXB080_A0901_nitrospira.fa
EXB080,A0801_nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/EXB080_A0801_nitrospira.fa
TDM056,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM056_nitrospira.fa
TDM030,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM030_nitrospira.fa
TDM001,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM001_nitrospira.fa
TDM038,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM038_nitrospira.fa
TDM051,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM051_nitrospira.fa
TDM017,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM017_nitrospira.fa
TDM019,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM019_nitrospira.fa
TDM055,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM055_nitrospira.fa
TDM036,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM036_nitrospira.fa
TDM003,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM003_nitrospira.fa
TDM037,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM037_nitrospira.fa
TDM027,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM027_nitrospira.fa
TDM013,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM013_nitrospira.fa
TDM053,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM053_nitrospira.fa
TDM052,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM052_nitrospira.fa
TDM060,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM060_nitrospira.fa
TDM049,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM049_nitrospira.fa
TDM005,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM005_nitrospira.fa
TDM043,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM043_nitrospira.fa
