"taxID","taxon","rank","kingdom","phylum","class","order","family","genus","species","EXB080_A0101","EXB080_A0102","EXB080_A0801","EXB080_A0901","EXB080_A1001","EXB080_A1101","EXB080_A1201","EXB080_A1301","EXB080_A1401","TDM001","TDM002","TDM003","TDM004","TDM005","TDM006","TDM007","TDM008","TDM010","TDM011","TDM012","TDM013","TDM014","TDM015","TDM016","TDM017","TDM018","TDM019","TDM020","TDM021","TDM022","TDM023","TDM024","TDM025","TDM026","TDM027","TDM028","TDM029","TDM030","TDM031","TDM032","TDM033","TDM034","TDM035","TDM036","TDM037","TDM038","TDM039","TDM040","TDM041","TDM042","TDM043","TDM044","TDM045","TDM046","TDM047","TDM048","TDM049","TDM050","TDM051","TDM052","TDM053","TDM054","TDM055","TDM056","TDM057","TDM058","TDM059","TDM060","TDM061"
0,"unclassified","no rank","","","","","","","",20043.4277361303,15676.3219126979,19169.4939162216,17136.5774847255,19881.4373522588,16585.6018311793,15241.2826398341,18725.7039995416,17517.7507387845,16458.3712107445,12915.6033781097,15704.4406991658,12510.10254393,13837.2495745445,12784.2202366067,10697.7278090093,13862.2836510828,15055.7302679144,13377.8744933299,8775.6945235872,14471.3360589037,15055.9939229643,15262.525124197,17205.0421394337,14310.380778375,17958.7206587431,15653.6048663731,17693.5247103138,22674.9589129085,14265.6524264847,14321.2329924253,19087.4487537914,14296.8214689166,15575.0602231673,19230.3617008486,16843.2486651766,18102.9671051475,16446.0951281078,21829.0686874284,17544.2119178358,17097.4129297268,19476.8592787836,15207.289451934,15253.6281545491,15609.6181494048,18486.7294010678,12934.1453282658,16778.1921798511,14074.1661310565,13969.7332800838,11200.3657576146,10851.926451965,15171.8554614566,15510.5130691157,17124.3517916778,14110.0314634218,16109.010051183,15250.2323558347,19218.6876020802,19884.6948556701,13660.0543942374,13976.8712213604,13143.6092214575,14796.3709325874,23424.0861910812,25866.1327801458,27278.8299869403,26978.1149705483,30451.6405297441
1,"root","no rank","","","","","","","",64848.0716946206,45293.8117929728,60780.241236528,67582.9323326817,78301.14763053,72408.8856188464,59664.2230861115,55371.1556162002,63521.1183092886,12373.1255329259,8090.1535287646,7271.83756155503,7110.18316519866,9331.02741831358,12258.5201115604,7311.52429239007,10456.8546012696,8595.22937983602,8425.48204875228,4945.43977387578,9970.0106487057,9403.92643193774,10208.3366283609,12081.6293838458,10177.2605683177,15309.7369645228,15669.5673148925,12145.9665036303,19555.4616230216,8860.63819137674,17031.4617306929,21592.7111564521,9888.29922371086,22516.7707431674,21180.7000536903,14891.6846085315,13748.1224119927,16562.9409023542,27150.073990001,13228.5321222998,21756.6092196743,23554.035650453,18510.2422577018,13021.0191120532,22028.1738575879,14806.4460564274,7698.57925203939,7603.67955066732,6852.69263361663,6709.10379300403,6180.53893236676,5502.51560468142,9063.325533071,6567.3392157285,11084.1876539031,6786.35852027962,9721.89715321343,10237.8345115111,12412.759076177,17614.5685032919,5667.07774851419,12232.3557681886,6666.30486678176,6137.95075798798,12150.5491470588,16144.1707569167,11527.8749010938,11908.2783061884,9283.47335851287
2,"Bacteria","superkingdom","","","","","","","",50943.9645815901,57360.0556471677,38060.6018925931,36172.3613866043,26151.6363106978,39505.2306990305,43849.8337710647,42355.1034018297,40154.7540896514,52852.9926427685,46540.6877433198,46191.5614879632,42191.341935407,42458.6142664595,47283.1890541729,46669.4648449068,51384.1139612331,45694.7126993028,44503.4695237251,32115.6460183211,49787.1679707283,43140.3129019953,45981.0983031286,50343.2465946116,49493.384762381,54177.3981578972,47525.5752926726,63361.6680495579,92141.5594815661,57830.2400560992,53124.1565474881,68971.4523279957,52346.8713131779,56587.9155928921,50690.1098233432,55317.3294168547,50533.5631872067,44898.6661244353,55280.4915355528,57962.3340486764,53749.6427613097,54300.5574301356,45759.776214541,49334.4185101329,45885.050399367,49329.0589916339,37885.4930573586,42438.7114743502,42401.6975342299,37730.1451831686,59423.7252696482,41924.703314772,47804.8284541908,45949.8760832903,52540.1012700187,47505.180720675,45173.9873224212,45953.4421732375,47693.5261398658,43954.6919092249,42739.1906323574,47741.9556231421,42968.9036366552,41681.3072258263,72559.9684837042,91876.3556073418,59767.6039451449,73416.6766287396,105783.510294019
10,"Cellvibrio","genus","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19893519703796,7.88702453914898,0,0,20.4248061128706,0,0,7.14038777959558,28.6281784913502,0,105.510334775161,0,0,0,21.1265554870292,34.0016611112093,0,0,0,0,0,0,0,27.0873032356433,0,80.2297906757954,42.7685192353769,0,0,141.693286381253,48.5762367333536,19.9158782346618,27.9861030880362,0,0,117.899177204157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Dictyoglomus","genus","Pseudomonadati","Dictyoglomota","Dictyoglomia","Dictyoglomales","Dictyoglomaceae","Dictyoglomus","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0440832714989,0,0,13.2198277843307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7145022787331,32.6189494833539,76.1737891753663,103.730437787246,44.8357770563238,33.254449798402,18.1588915557983
16,"Methylophilus","genus","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Methylophilus","",0,0,0,0,109.279516547326,23.8524407544298,0,0,0,17.3961823724928,6.51946589500757,15.6340992760272,17.6826322478459,19.9545745289236,0,25.6027045616068,0,15.0165829221473,7.05184601963254,0,0,0,7.33685440218341,0,0,0,0,0,0,0,0,0,0,0,19.7458641307823,0,0,0,0,0,0,0,0,0,44.9962661020678,17.3412799569653,0,0,26.2686653678561,0,0,0,0,0,59.008331334474,33.3322300915813,0,0,47.5903292100798,25.3031257545566,40.4716135212796,51.6280595311962,0,0,0,0,0,0,0
20,"Phenylobacterium","genus","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","",0,0,0,0,0,0,0,0,0,0,1.27468293882264,0,2.58156495600423,0,11.2610506709228,4.36988563655258,0,0,0,0,0,0,0,6.77568945115482,27.2689853738381,0,0,0,0,0,0,0,0,0,36.4166646646736,0,0,0,0,0,0,0,5.84755721409917,0,0,0,0,0,0,0,0,0,8.35183221897344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Shewanella","genus","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","",0,0,0,0,0,0,0,0,0,75.7685689240222,9.19137447672468,2.55392183779467,43.1441856629948,20.464662724703,32.5191495656918,0,0,3.0888718690854,0,0,0,0,0,0,0,17.2918816727363,0,0,0,0,0,0,10.0678697849528,0,0,0,0,0,0,12.2895375202978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Myxococcales","order","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","","","",0,0,0,0,0,0,0,0,0,2.22950088133795,4.79588686128772,13.9218753314618,4.01273661162901,2.70909779130177,32.2985248696155,12.8679156174324,0,0,5.3552918884587,0,0,7.68391152727929,0,0,3.30115603576243,0,5.89502374404024,0,67.889573599318,7.00732403703093,3.84408205284209,37.6245965116755,0,0,0,0,25.946706196388,8.198248492588,0,0,0,0,0,0,0,0,0,0,0,11.0196397853536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.941989575261,0,0,118.503901646779
31,"Myxococcaceae","family","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","","",0,0,0,0,0,0,0,0,0,15.0699389513931,9.59398737222367,1.81638639742291,4.12406078289853,0,0,0,43.2769658076897,1.80884526933222,14.1592874059578,0,0,6.01992947104443,0,0,7.40568929482751,10.3778250662053,10.3371840991434,0,8.82949852596388,0,2.83581945379698,38.6837834485687,5.92041399303827,20.897650809462,0,0,0,0,0,35.4863233131121,41.7458608903038,0,0,34.336167748498,0,89.5637865340334,51.284104223194,0,0,75.6035189886416,0,155.41406852339,0,0,0,0,0,12.3447265725973,0,0,0,0,0,98.0470995359012,11.7428089754481,15.4293381138032,0,0,822.343820078653
